conversation_id,customer_message,intent
752441,Does @115858 repair beats?,Sound & Bluetooth
1981673,@115858 WTF IS GOOD WITH THIS VOODOO HIEROGLYPHIC AUTOCORRECT???? I️ JUST WANNA TYPE THE LETTER ‘i’ [URL],Keyboard
1753203,updated to the new iOS & the battery life of my phone has become just unbearably terrible. Is there anything that can be done?,Battery
1144229,@115858 battery draining faster than before after .3 update . It’s totally disaster,Battery
1657752,@115858 PLEASE FIX THE LETTER I️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️ PLEASE AND THANK YOU ... god bless,Keyboard
1445547,I updated my phone and still seeing question mark boxes wtf @115858,Keyboard
97031,"Is it just me or is the @115858 app store a piece of shit? I rarely use it, but everytime I need to, it's always the biggest pain in the ass!",Apps & Storage
391236,iCloud 2FA displays the code on the same device as I’m trying to log in with. Is this normal?,Apple ID
1230332,I am having trouble my iTunes!,Apps & Storage
2753710,".@AppleSupport your iPad Air 2 has systemic issue going blank/black screen/no power (google/YouTube it) & all store can tell me is: you don’t have damage, but we can’t fix, so buy a new one? Srsly?",Screen & Camera
2144591,"The @115858 iPod touch has a serious problem (one of many) where the volume goes to 100% when you put the headphones in, and I blast my freakin' ears out. It ruins my day real fast.",Sound & Bluetooth
105402,Yo @AppleSupport - my wifes iPhone 6s drops from 80% battery to 20% in seconds. 5 minutes later it'll be at 5%. You plug it back in and it'll immediately jump back up to 75%. What's up with that?,Battery
2412521,Hey @AppleSupport the letter I issue got fixed on phones but it’s still not right on iMessage for Mac...,Keyboard
785769,Argh! Just put my phone on to charge and came back to at a cracked screen :/ #iPhone,Screen & Camera
1956362,Anyone having respringing issues on iOS 11? iPhone 8 +. Happens at least once a day. @AppleSupport,Phone Performance
2562305,my phone is up to date and never been damaged. can u stop randomly restarting it plz @AppleSupport,Phone Performance
1530001,my iTunes Player on my phone won’t get off shuffle,Apps & Storage
2633110,"I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",Sound & Bluetooth
2520802,can we do a battery test on my iPhone 7? I am having some issues.,Battery
464733,"@115858 everyday when I use my camera after charging overnight the default settings are adjusted and I have to turn off live, auto flash and HDR. 🤔It’s the little annoying things.. 🙁",Screen & Camera
2845706,"The numbers on my keyboard don't work, but everything else seems fine on my MacBook Air. Is there an easy fix for this? HELP!",Keyboard
1789699,@115858 explain why this happens when I switch between 2 different apple earphones! why does one go louder than the other one? #EXPOSED [URL],Sound & Bluetooth
2472935,when I try to remove my credit card off my iTunes account it doesn't let me save the changes it says an unknown error has occurred; I would like to remove my credit card please!,Apps & Storage
430129,I hate that i cant see the battery life of my headphones on IOS 11 @115858 @AppleSupport,Sound & Bluetooth
1640775,I'd love to merge my iCloud and iTunes accounts. Any way to do this easily and automatically?,Apps & Storage
1834648,"Come on @115858 can’t believe all the issues with .3! Drops WiFi and BT randomly, Battery life sucks & locks up landscape! 7+",Battery
81986,IOS 11.1.2 is killing my battery life. Sucks,Battery
2554206,This @115858 glitch or whatever when I️ type “I️” and turns into a symbol is really pissing me off 💀,Keyboard
2841945,Unable to enable your 2FA via text or phone. Seems the code will not work.,Apple ID
2893267,I got earphones with my iPhone 7 and I’ve not used them that much and they’ve stopped working for no reason. What do I do about this?,Sound & Bluetooth
713393,I need you to do something with the new iOS! My battery doesn’t last not even 2 hours! #PleaseHelp! IPhone 7 Plus iOS 11.0.2,Battery
1649031,"Hey @115858, what on Earth is taking so long to fix this keyboard bug? It’s gotten beyond ridiculous.",Keyboard
1303764,my dad purchased Apple Music for our family of 4 & it worked for awhile but now it quit & there’s a glitch now allowing it 1/2,Apps & Storage
1173939,Why this stupid ios keeps turning the wifi and bluetooth on every time??? @AppleSupport,Sound & Bluetooth
2067680,"@115858 the new update is trash, my phone keeps freezing.",Phone Performance
553576,will 11.2 fix black screen issue?,Screen & Camera
1895534,"Hey @AppleSupport, with the latest update my iPhone 7+ battery life is cut in half, and the moment it goes under 30% the phone freezes.",Battery
440814,"iOS broke my AirPods, 75% of time must disconnect them from Bluetooth before I can connect. No Btooth widget in control center",Sound & Bluetooth
455013,why is it that every time I go to watch a new episode of #MrRobot on my new Apple TV I get stuck on the spinning wheel? This doesn’t happen with other shows.,Phone Performance
327312,"Anyone else seeing no keyboard on ios 11.1.2? Twice today, not on any app. Reboot restored. /cc @AppleSupport",Keyboard
511110,Hey @AppleSupport @118721 @115858 what is going on with the itunes movie store ? [URL],Apps & Storage
2208131,How can I check the battery capacity on my iphone? @AppleSupport,Battery
1064904,@115858 really unhappy with new IOS update. Kills battery and apps won’t work. Help! Can I remove it?! 😤 #ios #iphone,Battery
2945820,Pathetic user support facility of #Apple Trying to recover my icloud account from more than 15 days but no Response...Highly irresponsible customer support @AppleSupport,Apple ID
366967,Issues with @115888 not on lock screen and car Bluetooth connectivity post iOS 11 update. @115858 please advise,Sound & Bluetooth
509564,@115858 bruh how the fuck have you STILL NOT fixed the I️ glitch,Keyboard
2627829,whats the point of having a trusted number for two factor when the your system refuses to call it with verification codes? @119462 @116333,Apple ID
1940149,"LOVE that my phone freezes, and turns volume down on it’s own plus many more! Great IOS 😐 @AppleSupport @115858",Phone Performance
2780699,my iPhone X keeps dropping Bluetooth. Need help. Thanks.,Sound & Bluetooth
2078258,iOS 11 has everything all messed up. Ever since the update my internet on my phone is slow on WiFi @115858,Phone Performance
1026228,Dear @115858 I have a fraud concern regarding my Apple ID. Who should I contact?,Apple ID
2709987,Why is it taking forever just to recover my Apple ID🙄,Apple ID
554726,"I am on iOS 11.2, have turned on two factor auth, have debit and credit cards, but Apple Pay Cash is not available in my wallet settings. Whats up?",Apple ID
1836398,why since doing the iOS update does my phone freeze everytime I try to open/close an app? & Sometimes while I’m using the app?,Phone Performance
1327364,@232675 @AppleSupport my iphone won’t pair with my BMW bluetooth after upgrade- please supply link to fix,Sound & Bluetooth
2856779,"on IOS 11.3 and my battery turns off at 19% other times, 11%. Since 11.0 I’ve not managed to get to 1% before it dies. Is this going to be rectified?",Battery
415752,@115858 @AppleSupport after I updated to #ios11 my 6s battery life reduced to less than half. I want ios10 back. You need to fix this. Please,Battery
1078239,ios11 was pretty cool before it made my phone freeze every 5 minutes @AppleSupport,Phone Performance
1239022,@159983 since the ios11 update my wireless earphones are out of sync when watching YouTube vids #2secdelay,Sound & Bluetooth
1949240,"My camera roll is out of order since yesterday @AppleSupport , what can i do to get them back in order please?",Screen & Camera
1406636,not happy how I was misled in using the App Store app to upgrade my iPhone,Apps & Storage
1311484,I feel like this Apple IOS 11 update has my iPad sluggish! 😐 Where are the New Emojis? @115858,Phone Performance
2404856,hey quick question why is this happening whenever I try to view an album in the iTunes Store from my phone? How can I make it stop? [URL],Apps & Storage
2213343,"@115858 Ever since I updated my software 13.3, my @797 6 battery power drains so fast. Since opening up @123765 app, it went from 56-44%",Battery
1702948,"have a iPhone 7 Plus and since the new update my podcast app is unuseable. Crash every couple minutes, freezes during browsing",Apps & Storage
1546676,@115858 Hey guys I'm really frustrated right now. I literally was able to check my order status through your site and 20 minutes later when I refresh the page it says that my information entered doesn't match. Please help,Other
384048,@115858 @AppleSupport what’s going on with this update?! My battery is draining so fast and my phone keeps freezing.,Battery
1234749,why are my EarPods now playing music when I pause a podcast?,Sound & Bluetooth
2050303,"Your 11.0.2 update killed my battery and my ringtone, which is selected but does not play. When in the patch coming?",Battery
1573645,"@115858 please fix this I️ bug, I’m tired of looking crazy when I️ tweet",Keyboard
2862163,Can't get onto my phone because @applesupport can't change a password in under a 2 week time period.. I'm pissed. Can someone help me before I go out and buy a freaking android?? How a company as big as apple cannot help me recover an apple ID in under 2 weeks is just ridiculous,Apple ID
642063,hi could you give me some advice im using a iPhone X on iOS 11.1.2 the latest firmware sometimes my phone freezes what can I do,Phone Performance
2618283,"Hey @AppleSupport when are you REALLY going / planing to fix the keyboard problems ? It is really, really, really slow since IOS 11 and the last update (11.1.2) doesn't resolve anything !",Keyboard
1215591,Dear @115858 the new update is messing with my phone freezing it and I don’t appreciate it. Y’all sice with the record screen but the rest...,Phone Performance
2831787,Anybody else with an iPhone 6s constantly having to charge their phone? Since the iOS update the battery life has been awful 😡 @AppleSupport,Battery
382954,how long till you fix this glitch for the letter I️,Keyboard
2379321,Hi. I really need you help. 2 weeks ago you did a review on the appstore about various apps for photos. Where can I find that info again?,Apps & Storage
436469,Can I assume that Apple will not ask me to log into my acct from an email? Phishing scam I'm sure but double checking,Other
243264,RIP to my cellular phone battery since the new @115858 iOS 11 update.,Battery
682045,"@AppleSupport, why can't I login to iMessage on my Macbook? Just keep getting ""An error occurred during activation. Try again.""",Apps & Storage
656259,#Bluetooth #iphonex What’s going on with Bluetooth. I can connect to a device but when I use Siri or receive a call it disconnects. When are you fixing this please,Sound & Bluetooth
1828926,"I swear to god, I'm gonna smash this phone soon. It won't stop calling and ending calls randomly whenever I've got my headphones in @115858",Sound & Bluetooth
2564158,Extremely disappointing that the seamless connection (for voice calls) between #AirPod and iPhone X at iOS 11.1.1 is no more. When I select the AirPod icon the sounds come from phone earpiece. Piece of $219 #%*#!!,Sound & Bluetooth
2312124,guys! Beats 1 in Music app is not showing album art and song info in iOS 11.1.1 Actually the same problem was on 11.1 but I thought Apple will fix it in 11.1.1 ..sadly the problem persists! Happy to hear from you guys!,Sound & Bluetooth
2288391,"Now that I saved the pictures I'm just worried about the music I purchased, when I login on iTunes on the new phone, [...]",Apps & Storage
2646281,Hey @AppleSupport why all of a sudden is the battery life on my iPhone 6 about half what it was a week ago?? #iphone8 #iPhoneX #Zimbabwe #newmodelrelease,Battery
2725991,"Dear @AppleSupport @115858, thank you for screwing up my phone ever since iOS 11. My phone freezes all the time and have to keep resetting my phone to make a phone call. I’ve had an iPhone or an iPod for over 12 years but now done with you",Phone Performance
2287417,"Getting a message saying ""an error occurred"" when trying to update my iOS. It doesn't say what the error is, so I don't know how to fix it. Have tried plugging the phone into my MacBook and updating thru iTunes, but that isn't working either. Please help.",Apps & Storage
1447238,"if i choose to buy icloud storage, can i use my itunes credit to pay for it?",Apps & Storage
659904,Just wanna know how ITunes took out 45 dollars from my account without my consent??? @AppleSupport,Apps & Storage
294930,"Ever since i updated my iPhone 7 Plus to iOS 11 my speaker for phone calls won’t work, help!",Sound & Bluetooth
841873,from 80% battery to 10% battery in an hour. Not cool. Send help.,Battery
2021975,My phone refuses to update because it doesn't have enough iCloud storage. Help?,Apps & Storage
886195,@115858 stupid iOS update made my speaker phone stop working. It’s a 7plus. Fix it.,Sound & Bluetooth
2422413,@115858 fix your shit. why does Bluetooth automatically come on when I reboot my phone?,Sound & Bluetooth
332839,"iOS update 11.0.2 still draining battery, same as previous update. Already have all power saving settings. iPhone SE.",Battery
2427334,@115858 my apple watch battery suddenly decided to get fat and popped up the display of the watch. What now? Series 1 [URL],Battery
2077301,"iOS 11.0.2 on 6s phone keeps freezing (Hard reboot) control center not working right, speaker and audio issues on calls. HELP!",Sound & Bluetooth
2322520,@115858 work harder to fix the issues #mov doesn’t play on #iPhone X #battery not fully charging #iPhone doesn’t response in cold weather,Battery
1933025,Man if my phone freezes one more mfn time today it’s gon be a problem @115858,Phone Performance
776947,Is the latest iOS update making everyone’s #iPhone slow or is it just me ? #ios #apple @applesupport,Phone Performance
247114,"@115858 @AppleSupport after upgrading to 11.1, my battery sucks.. I use #iphone7",Battery
1624985,any idea why iTunes won’t show me what’s playing from my library? [URL],Apps & Storage
2105971,Dear @115858 @AppleSupport - you said I had an #update... now I have a black screen #DoNotLoadAppleUpdate,Screen & Camera
1586846,"@115858 @AppleSupport phne stolen, registered phne changed, cannot recover apple id, help!",Apple ID
2078610,on iOS 11.0.2 Phone keeps freezing. Phone has also shutdown 4x in 12 hours. Phone is used with a medical device. Please fix!,Phone Performance
2816411,"i hate @115858 ! Can’t type i, can’t log in to my own account because of the two-factor authentication, can not wait to witch to a @728029",Apple ID
1776828,"Hi. If I sign out from my Apple ID on my iPhone, would I loose any data?",Apple ID
1950914,"I'm experiencing non responsive, grey and flickering touch screen [URL] Store says I have no right to repair",Screen & Camera
2295679,", I changed from windows to apple because friends told me how good it is....but my macPro 2015 after has its warranty expired started to overheating, looks like my old windows but that windows last for 5 years",Battery
2121741,so done w not being able to use the letter I appropriately anymore @115858 wtf is your deal,Keyboard
2007608,the latest software update on my iphone7 is draining my battery at lightening speed.....help! Can I downgrade my IOS?!,Battery
1578778,"@115858 My front camera is not working, but my back camera is working. Please helps",Screen & Camera
2756107,Yo @115858 why’d you ship me beats that are already broken???,Sound & Bluetooth
267353,"I would like to know if I can send my 🍏⏰ (broken screen) to United States, here in 🇨🇱 the value is greater than buy a new one",Screen & Camera
1880662,"There is Lag while turning on / off bluetooth , please release a bugfix for this",Sound & Bluetooth
27331,force touch for app multitask gone in iOS11 ?,Screen & Camera
1877316,ever since I updated my phone it sucks. Battery dies rapidly. Serious Lag and delayed touch response.WTH!?,Battery
512495,@115858 what’s going on with 11.1.2 and the grey spinning wheel! #brokeniphone,Phone Performance
1948190,you wanna explain why after the update every time I️ type in the letter I️ it’s some weird ass question mark 😕,Keyboard
1671235,Just noticed a camera roll bug at ios 11.1 update. My photos are not sorted by date anymore. This is frustrating 🤯 @AppleSupport please fix.,Screen & Camera
96993,"Hey @AppleSupport @115858 I was warned not to upgrade to 11.1.2 but had to for work, this sucks, what are you going to do about the battery drain? It’s a joke! Do something ASAP! #listentoyourcustomers!",Battery
2676074,"since software upgrade, have to turn phone off and on again to get speaker to work, speaker-phone to work! Screen super buggy!",Sound & Bluetooth
447319,I️ thought you fixed the typing issue with the letter “eye” aka I️,Keyboard
2505019,"Can you confirm if this is a known issue, as it happens every time? After restart, iTunes 12.7.1.14 has no idea what songs it had in the queue, and they show up as unknown. macOS 10.12.6 [URL]",Apps & Storage
2685398,i need help deleting my second apple id somi can use that email for my main apple id please help,Apple ID
1158024,hi I need to change my Apple ID email but I have forgotten my security questions please help.,Apple ID
2562343,I tried to record my screen with the new screen recorder and it just pissed me off!! It did record but there's no sound like wth!! It doesn't work with the mic on and it doesn't work with the mic off!! What's the use of it @115858 ?????,Sound & Bluetooth
101278,Is there any way to check the overall battery health of my iPhone 6?,Battery
2278803,whyyyyyyyyyyyy does my Apple ID always get disabled.,Apple ID
2147716,are you guys going to fix this Apple I️ glitch?,Keyboard
2687719,WHY DOES MY PHONE CHANGE THE LETTER I️ TO AN EXCLAMATION POINT AND A QUESTION MARK I️ DONT UNDERSTNAD,Keyboard
1691760,Ugh if @115858 doesn’t fix this typing problem,Keyboard
590944,Anyone having camera issues in the latest #iPhone7Plus update? My rear camera is auto sinking in and out and won’t take pictures. Help?! @AppleSupport,Screen & Camera
1022576,Hey @115858 thanks for the “update.” Super rad. I’m typing this in slow motion because that’s how my phone runs now... #bettergochargeittoo,Keyboard
2052883,UPDATE 11.0 2 is terrible for BATTERY and some glitches with lock screen interface with iMessage.,Battery
2948277,I’m pretty sure this is some kind of a spam/ phishing email [URL],Other
2896164,any chance that you’ll be fixing the letter I glitch anytime soon? It’s become a running joke in my office about proofreading your messages for A?,Keyboard
2452595,Hello ! I have another problem : I've bought music like 2 or 3 years ago on my iTunes account but I can't find it anymore :(,Apps & Storage
2004660,@115858 what the fuck did you do to my phone. I️ can’t press the letter I️ without this bullshit happening,Keyboard
1593906,I️ can’t type the letter “i” without my phone doing weird things. How do I️ fix this?! 🤔 @AppleSupport [URL],Keyboard
1300685,This new @115858 IOS 11.0.3 update is the biggest disaster in the history of Apple updates. Makes the phone slow and unstable.,Phone Performance
491487,I am an apple music subscriber. I backed up my phone via iTunes and restored the phone. I had a lot of music downloaded via Apple Music and now there's nothing after the reinstall. I can't even find a way to re-download all those tracks. Please advise?,Apps & Storage
1195189,My app store says i have to pay to download music.ly 😶 @AppleSupport the app is free so why do i have to show my billing info?,Apps & Storage
620073,Can ya’ll tell me why my screen freezes a lot while I’m doing smth or specifically while texting? I’ve already updated to the 11.1.2 😣 @AppleSupport,Phone Performance
1583050,"@115858 @AppleSupport needs to seriously get it's shit together with this ""I"" and ""it"" autocorrect issues. STAT.",Keyboard
1973707,"@115858 Hey, I need a help i have aaple 6s icloud locked but i have bill box n all, i forget my id password. so any possibilities to unlocked",Apple ID
542282,@115858 My friends are trying to add me into our iMessage group chat but it’s saying that I’m not registered for iMessage.. I’ve done everything o can think of and I’ve used iMessage multiple times but for some reason is not working?,Apps & Storage
2427410,my iPad Pro keeps restarting every 5 minutes what shall I do ?,Phone Performance
2684784,"Also Bluetooth gets on by itself, when it is turned off. [URL]",Sound & Bluetooth
854563,Hey @AppleSupport why do custom lyrics added in iTunes not survive syncs to iOS devices?,Apps & Storage
1676328,@115858 are you gonna fix this letter I️ junk orrrrr?,Keyboard
2570446,the battery on my iPhone 7plus drains constantly!! My apps crash and some stopped working. Bluetooth drops.,Sound & Bluetooth
1747358,My phone freezes on a regular basis. Very much regret iOS 11. @AppleSupport please some of your $200 billion to make the phones work.,Phone Performance
1864264,"@AppleSupport, since the last IOS update, my phone battery is playing up. Can you please fix it? Thanks.",Battery
1174785,"Ever since the update, my iPhone keeps freezing and quitting apps. Sometimes for long periods of time. What is going on?",Phone Performance
808213,"WiFi & calling broken, 50% increase in battery drain, iOS freezes. Seriously? Did y'all bother to do any tests at all?",Battery
1880971,"if a software update stopped a 3rd party touch screen working, but the latest one may have fixed it. (1/2)",Screen & Camera
1148817,The IOS 11 WiFi and Bluetooth thing pisses me off. I shouldn’t have to keep turning off my WiFi and BLUETOOTH every time I get into my car,Sound & Bluetooth
620213,@115858 make it possible for multiple devices to connect to the bluetooth on ur phone,Sound & Bluetooth
2000496,what is up with the iPhone glitch when you type I️ ?! How do you fix it,Keyboard
646943,since upgrade to IOS11 my Iphone 6s keeps disconnecting from my cars Blue&Me bluetooth with a horrible noise after a couple of mins in a call. Any ideas? Had no problems before upgrade. Thanks.,Sound & Bluetooth
388031,iPhone 7 Plus has lost about 20% of battery in less than 2 hours - this seems a lot? Airpods and Watch connected but still?:(,Sound & Bluetooth
2021897,my phone 📱 won’t properly type the letter after H in the alphabet. Please assist! 😳😬😨,Keyboard
1948064,"Hey, @AppleSupport. Having troubles with iTunes: radio won't start playing, nothing happens when I press play [URL]",Apps & Storage
847074,Is @115858 screwing with anyone else's old iPhone? Mine froze up and died with 35% left on the battery. #pushingthatupgrade,Battery
1502992,when I type the letter I it’s defaulting to the picture below. Notice the text prediction. Please advise [URL],Keyboard
455028,"Hi, I have a problem with my rMBP early 2015. This evening I was working on it when suddenly touchpad and keyboard stopped responding (power button excl.). I tried force restart, when the computer was rebooting it displayed these images. What's the issue? [URL]",Keyboard
2152072,@115858 iPhone X touch screen completely failed 6 hours after activation.,Screen & Camera
1269557,any reason why iTunes have taken 27 pound out of my account.. when I pay for Apple Music monthly not happy.,Apps & Storage
2953748,I became a beta tester and some of the apps I rely on the most are buggy. Can you restore old iOS versions without using an old iCloud backup?,Apps & Storage
2518324,for some reason my account is locked for the upgrade. It has been over 60 minutes. I've checked with ATT and my credentials are correct,Apple ID
1988637,i literally got a brand new iphone &it wont let me set up and it keeps saying that there is an an error with apple ID or it just wont work,Apple ID
2052459,@115858 I hate the new iOS 11 it keeps restarting my phone...hurry and fix it please,Phone Performance
512472,"Hey, I can’t sign into my account and it’s not because I’ve forgotten my password or pin. The App Store keeps telling me that it can’t sign in even though I’ve inputted the correct password at least five times. It’s quite frustrating",Apps & Storage
2978805,"@116333 Hello tim, I yesterday received my iPhone X , I was very excited to have it, as I invested a big amount to purchase it, When I switched on the rear camera and went to the portrait mode; A black spot was visible on the screen, 😒",Screen & Camera
861443,Yea it is shite and drains the battery also is making phone very slow @AppleSupport [URL],Battery
568454,a UI bug in iOS 11.2 following my update this morning on iPhone X: [URL],Keyboard
2855315,how do I turn off the “storage almost full” alerts? I know it’s full and wish to keep it full without being told it’s full.,Apps & Storage
1171489,"I updated my iPhone 5s to ios11 a couple of days ago, I just tried to take a video and it has no sound?! Is it related?!",Sound & Bluetooth
110893,"Wow, the latest @115858 MacOS update sure hates @115888. Keyboard pause/skip controls no longer work and searching ""spotify"" in Spotlight now defaults to opening the installer instead of the (installed) app.",Keyboard
1286475,@115858 @53909 @AppleSupport Why does this weird circle keep showing u o when I try to talk to Siri? [URL],Keyboard
2309039,My music app hasn't been opening. It just goes to a black screen when opened and then closes out. Can't even access settings. What's going on?,Screen & Camera
2043966,downloaded latest update now getting 'bricking' message. No iTunes or laptop to fix this. Please help!,Apps & Storage
2675408,Can’t type the letter “I️” without my iPhone changing it to “and ?”. This update sucks infinite dicks. @115858,Keyboard
1835642,ios 11 overheats and drains the life out of my soul and my iphone6 pls help mE,Battery
1948368,"When I plug in my handphones or connect my beats it auto controls my music app, even when I’m listening to a podcast. Why? @AppleSupport",Sound & Bluetooth
750039,"@115858 the new update is absolutely shocking, phone keeps freezing, can use my music apps and phone calls don’t work #Shocking #SortItOut",Phone Performance
151518,"@115858 @AppleSupport the worst experience i had with iphone today, when suddenly (my iphone 6s plus after the update) keep restarting and hang on the apple logo 😡",Phone Performance
847709,Are there any issues with the App Store? Been trying to download two apps all morning.,Apps & Storage
2652482,Why won't iTunes 12.7 correctly list what songs I have on my iPhone 8? And why won't it let me download my holiday music either? Or my custom ring tones? This is driving me nuts!,Apps & Storage
1859034,my iPhone 6s has a consistent battery draining problem since the update of iOS 11.0.1 so far 2 more minor updates but in vain,Battery
1338775,—after upgrade battery not only seems to go quickly it takes much longer to charge! 😡,Battery
