conversation_id,customer_message,context,intent,escalation_label,escalation_reason
2282224,@115858 @applesupport my #iphonex is literally freezing faster than me in the cold and why the hell does it always look like there‘s water inside my screen while unlocking? [URL],"[Customer]: @115858 @applesupport my #iphonex is literally freezing faster than me in the cold and why the hell does it always look like there‘s water inside my screen while unlocking? [URL]
[Customer]: @115858 @AppleSupport Help me :( [URL]
[AppleSupport]: Thanks for the great video and photo of what’s occurring. Let’s look into this further together. Please send us a DM telling us the country you’re located in, the iOS version number, and when this began.",Screen & Camera,ESCALATE,Physical hardware damage or component failure requiring hands-on inspection or hardware repair.
553641,'Mo Updates 'Mo Problems. My phone just got stuck in landscape. Thanks 11.2,"[Customer]: 'Mo Updates 'Mo Problems. My phone just got stuck in landscape. Thanks 11.2
[AppleSupport]: Let's look into this together. Have you tried restarting your iPhone or any other troubleshooting steps?
[Customer]: Thank you for replying yes after I exited and closed the app my screen returned to the portrait position.",Screen & Camera,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2283100,"I have all the current updates on my phone, and my phone glitching and freezing. @115858 @AppleSupport I’d like to be on my phone for more than 5 minuets w/o having to lock and unlock... it even turn off and on agin. This didn’t happen UNTIL iOS11.1🙄🤔😒","[Customer]: I have all the current updates on my phone, and my phone glitching and freezing. @115858 @AppleSupport I’d like to be on my phone for more than 5 minuets w/o having to lock and unlock... it even turn off and on agin. This didn’t happen UNTIL iOS11.1🙄🤔😒
[AppleSupport]: We're here to help. We recently released iOS 11.1.1 to help address some of these behaviors. Please follow the process here: [URL] and keep us posted.
[Customer]: I have the current updates. Still glitches/ freezes. 😒 This never happened before the iOS11.1.1 ... so now what that I do that my phone is working worse than ever before?? [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
873673,It took me to long to notice Apple screwed us how do I charge my phone and use my headphones without air buds?@115858,"[Customer]: It took me to long to notice Apple screwed us how do I charge my phone and use my headphones without air buds?@115858
[AppleSupport]: We know it's important to listen to Music and charge your iPhone. There is an adapter available. [URL]",Sound & Bluetooth,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
1536288,iTunes is the worst for restoring iPhone. Ruins an otherwise simple and delightful @115858 upgrade experience. Has broken all my devices.,"[Customer]: iTunes is the worst for restoring iPhone. Ruins an otherwise simple and delightful @115858 upgrade experience. Has broken all my devices.
[Customer]: @115858 iPhone encrypted back up inaccessible due to idiotic iTunes back up management. No recovery mode. etc etc. Now  Watch inaccessible.
[Customer]: @115858 Today has been pain pain pain. Two hours in store..hours at home. Still not working and I'm a pro at this.",Apps & Storage,ESCALATE,Physical hardware damage or component failure requiring hands-on inspection or hardware repair.
1747366,@115858 and @AppleSupport - PLEASE fix the “I️” [?] autocorrect glitch.,"[Customer]: @115858 and @AppleSupport - PLEASE fix the “I️” [?] autocorrect glitch.
[AppleSupport]: Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]",Keyboard,AUTO-HANDLE,"Known iOS 11 keyboard autocorrect bug with an official, safe self-service Text Replacement workaround."
2798459,Ok I️ try and keep my bool about @115858 updating our phones but why the fuck can’t we type the letter I WITH OUT SEEING “?”,"[Customer]: Ok I️ try and keep my bool about @115858 updating our phones but why the fuck can’t we type the letter I WITH OUT SEEING “?”
[AppleSupport]: The autocorrect issues is resolved in the iOS 11.1.1 update. If you don't have that already, backup your iPhone, update the iOS, and test your keyboard out. Let us know if that helps. Backup and update iOS: [URL]",Keyboard,AUTO-HANDLE,"Known iOS 11 keyboard autocorrect bug with an official, safe self-service Text Replacement workaround."
2872578,my battery doesn’t last more than 2 hours with the new update... You need to listen to the consumers.,"[Customer]: my battery doesn’t last more than 2 hours with the new update... You need to listen to the consumers.
[AppleSupport]: We'd like to check into your battery life with you. Please send us a DM with which version of iOS 11 have you updated to, and we'll investigate together. [URL]",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2199248,@115948 @115858 so y'all sent ANOTHER update...I complete the update and now my entire iTunes library is gone.... How Sway?! whyyy sway,"[Customer]: @115948 @115858 so y'all sent ANOTHER update...I complete the update and now my entire iTunes library is gone.... How Sway?! whyyy sway
[AppleSupport]: We're happy to help. What device are you using? Did you update to 11.0.3? Let us know to continue.",Apps & Storage,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2466453,just purchased a MacBook Pro with AppleCare. Want to import password keychain and notes only. Can you help?,"[Customer]: just purchased a MacBook Pro with AppleCare. Want to import password keychain and notes only. Can you help?
[AppleSupport]: Congrats on your new Mac! We'd be happy to assist. Please DM us. [URL]",Apple ID,ESCALATE,"Involves sensitive credentials, password reset, or account lockout requiring private identity verification."
561748,"The last week my iPhone goes from 70% battery to 1% in less than 30mins even when I havnt touched the phone😡 i have it on battery saver even tried air plane Mode, it’s so annoying! @AppleSupport why is this happening it’s so frustrating","[Customer]: The last week my iPhone goes from 70% battery to 1% in less than 30mins even when I havnt touched the phone😡 i have it on battery saver even tried air plane Mode, it’s so annoying! @AppleSupport why is this happening it’s so frustrating
[AppleSupport]: You've come to the right place, we'll be happy to look into this with you. To start, can you check if there's any message that mentions your iPhone's battery being in need of service, in Settings > Battery? Use this article as reference: [URL]
[Customer]: No this is not showing! I also have nearly all notifications off on all apps so if doesn’t need to be refreshed continuously but still not helping! 😩",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1028445,my phone died and now ive plugged it in and its comepletly blackscreen and it wont even show the charging symbol HELP @AppleSupport,"[Customer]: my phone died and now ive plugged it in and its comepletly blackscreen and it wont even show the charging symbol HELP @AppleSupport
[AppleSupport]: We've got your back. Rest assured, this may temporary. Follow these steps and report the results: [URL]
[Customer]: ive already tried all the steps from the website it still wont work",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2300181,It’s so freaking slowwww and crash everytime on safari geezzzz high sierra is shit @AppleSupport [URL],"[Customer]: It’s so freaking slowwww and crash everytime on safari geezzzz high sierra is shit @AppleSupport [URL]
[AppleSupport]: We're here to help. Let's take this to DM so we can better assist you. [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2953754,"@115858 just got new headphones with the iPhone 8 and they started making a weird noise but I kept them in anyway. They just POPPED in my ear and now my ear hurts, what are you going to do about this?","[Customer]: @115858 just got new headphones with the iPhone 8 and they started making a weird noise but I kept them in anyway. They just POPPED in my ear and now my ear hurts, what are you going to do about this?
[AppleSupport]: Please send us a DM and we will go from there. [URL]",Sound & Bluetooth,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
559019,my iphone7+ keeps crashing like every few minutes ??? What do I do,"[Customer]: my iphone7+ keeps crashing like every few minutes ??? What do I do
[AppleSupport]: We'd be glad to be of assistance. This issue has been addressed in our recent iOS 11.2 update: [URL]
[Customer]: Just updated. Fingers crossed it works!! Thankyou",Phone Performance,AUTO-HANDLE,"General performance lag addressable with standard restart, cache clearing, and storage checks."
1448091,Why the heck does my autocorrect keep wanting to change a capital I to an A with a ? box?? Had to turn it off completely [URL],"[Customer]: Why the heck does my autocorrect keep wanting to change a capital I to an A with a ? box?? Had to turn it off completely [URL]
[AppleSupport]: Let's work on this together in DM. [URL]",Keyboard,AUTO-HANDLE,"Known iOS 11 keyboard autocorrect bug with an official, safe self-service Text Replacement workaround."
811638,"Hi trying to download a game on to my phone but keeps telling payment failed, can't sign in to itunes too","[Customer]: Hi trying to download a game on to my phone but keeps telling payment failed, can't sign in to itunes too
[AppleSupport]: Hi. We're happy to help with this. Let's take a look at this article: [URL] Let us know if this helps.
[Customer]: the app is free does this change things and on itunes when i try and sign in to my account it said that your server is down",Apple ID,ESCALATE,"Involves sensitive financial transactions, billing disputes, or payment details requiring human account review."
2300649,@115858 fix iOS 11 ASAP please. I’m about to switch to a damn Note 8 just so I can type the letter I and so my phone is ACTUALLY water proof. You’re slipping.,"[Customer]: @115858 fix iOS 11 ASAP please. I’m about to switch to a damn Note 8 just so I can type the letter I and so my phone is ACTUALLY water proof. You’re slipping.
[AppleSupport]: iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: [URL]",Keyboard,ESCALATE,Physical hardware damage or component failure requiring hands-on inspection or hardware repair.
1752177,my phone crashes 10 times a day but i'm afraid if i update it the problem will get worse @AppleSupport i'm looking @ u,"[Customer]: my phone crashes 10 times a day but i'm afraid if i update it the problem will get worse @AppleSupport i'm looking @ u
[AppleSupport]: We'd like to help. Let's meet in DM to continue. [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
394572,"Hey @115858, how the f*uck do I turn of this terrible new (dis)connect wifi and bluetooth feauture?! Damn, how it sucks!!","[Customer]: Hey @115858, how the f*uck do I turn of this terrible new (dis)connect wifi and bluetooth feauture?! Damn, how it sucks!!
[AppleSupport]: Let's us help today. See this link for information on Bluetooth & Wi-Fi in Control Center: [URL]
[Customer]: Oh, great. A full enumeration of everything that sucks about it. Pls: a simple switch to choose between old and new..or downgrade to IOS 10.",Sound & Bluetooth,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
306112,"Hi, my mother got an iPhone 6s this year in March 2017. The charging wire of her phone has started cracking. (1/2) @AppleSupport","[Customer]: Hi, my mother got an iPhone 6s this year in March 2017. The charging wire of her phone has started cracking. (1/2) @AppleSupport
[Customer]: Is the wire covered in the warranty period? Can we get it exchanged for a new one at an Apple store?
[Customer]: I thought @AppleSupport would at least reply to my query. Has been a week since I asked about this issue. @115858",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
310240,@115858 WHY DOES FACETIME NEVER WORK?!,"[Customer]: @115858 WHY DOES FACETIME NEVER WORK?!
[AppleSupport]: We want to help. What device are you using with FaceTime?
[Customer]: My iPhone 6s",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1644557,when I tap on @ I get ? I have to go to keyboard numeric to use @ symbol. Example: ?AppleSupport.,"[Customer]: when I tap on @ I get ? I have to go to keyboard numeric to use @ symbol. Example: ?AppleSupport.
[AppleSupport]: Let’s see what we can find out about your device. Let us know which version of iOS you’re running in DM to proceed. [URL]
[Customer]: 11.1 (15B93). I have installed at least 3 updates in the past few weeks. Problems began after first one. Last update was installed early today.",Keyboard,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1999665,"got a new phone. 8+, restoring from iCloud and it’s asking me for passwords to 2 unknown Apple ids. It won’t go away!!!","[Customer]: got a new phone. 8+, restoring from iCloud and it’s asking me for passwords to 2 unknown Apple ids. It won’t go away!!!
[AppleSupport]: We're here to help. Is it prompting you when attempting to install a specific app? DM us your respond and we'll continue there. [URL]",Apple ID,ESCALATE,"Involves sensitive credentials, password reset, or account lockout requiring private identity verification."
1061434,"can you tell me why my charger isn’t working?! I’ve only had it a year, so inconvenient","[Customer]: can you tell me why my charger isn’t working?! I’ve only had it a year, so inconvenient
[AppleSupport]: We're here to help. Let's take this to DM so we can better assist you. [URL]",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2465717,So apparently @AppleSupport has forced iCloud on my phone and has been backing up information I thought I had been deleting! If I want your,"[Customer]: So apparently @AppleSupport has forced iCloud on my phone and has been backing up information I thought I had been deleting! If I want your
[Customer]: ICloud services, I’ll ask! Stop trying to dictate to me that I have to use iCloud!! FFS!
[AppleSupport]: We can help with turning iCloud off. This article goes over how to manage iCloud and your backups: [URL]",Apple ID,ESCALATE,Apple ID credential and account management involves private authentication requiring human/secure handling.
1540005,can you please tell me why the iPhone screens keep freezing,"[Customer]: can you please tell me why the iPhone screens keep freezing
[AppleSupport]: Thanks for reaching out to us. Please send us a DM and we can chat with you there. [URL]",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2064248,updated 11.0.2 and now my phone is freezing up and screen rotation sticking in landscape mode!!!!,"[Customer]: updated 11.0.2 and now my phone is freezing up and screen rotation sticking in landscape mode!!!!
[AppleSupport]: We can look into getting your screen to work as expected. Can you let us know the device model? Send us a DM. [URL]
[Customer]: Sent",Screen & Camera,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2544028,if you don’t put all my memes and pictures of my favorite people back in my phone we’re gonna have a problem,"[Customer]: if you don’t put all my memes and pictures of my favorite people back in my phone we’re gonna have a problem
[AppleSupport]: We'd like to look into this with you. Send us DM including what issue you're experiencing with memes and photos. We'll continue there. [URL]",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1933920,My @797 keeps skipping screens and freezing. It won't let me type. @115858 this is crazy,"[Customer]: My @797 keeps skipping screens and freezing. It won't let me type. @115858 this is crazy
[AppleSupport]: That's certainly not expected behavior, and we'd like to help. Please send us a DM with your current iOS version. [URL]",Screen & Camera,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
87013,"I took this screenshot a second ago. My phone thinks it’s 9am. Or maybe I time traveled… Go home iPhone, you’re drunk… [URL]","[Customer]: I took this screenshot a second ago. My phone thinks it’s 9am. Or maybe I time traveled… Go home iPhone, you’re drunk… [URL]
[Customer]: FYI (It’s 1am currently) [URL]
[AppleSupport]: Thank you for taking the time to reach out to us and for providing that screenshot. We know how important it is for your iPhone to display the correct time, and we'd love to help. Does restarting resolve the issue, or does it continue to show the wrong time?",Other,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2471924,My iPhone 7+ keeps becoming unresponsive continuously and I can’t hard reset holding home button & lock. IOS up to date #Help,"[Customer]: My iPhone 7+ keeps becoming unresponsive continuously and I can’t hard reset holding home button & lock. IOS up to date #Help
[AppleSupport]: For an iPhone 7 Plus, press and hold both the Side and Volume Down buttons for at least 10 seconds, until you see the Apple logo.
[Customer]: Doh! I thought I wasn’t getting anything. I have tried this and will see if it solves the problem. Just keep getting u responsive screen 😏",Phone Performance,AUTO-HANDLE,"General performance lag addressable with standard restart, cache clearing, and storage checks."
1023599,"my phone crashed & the 2 options were to restore it to factory settings or to update it, updating would mean the photos & notes dont get deleted yet everything of 1 year is GONE now.. photos, notes, EVERYTHING. it went to factory setting automatically. i hate @115858 @AppleSupport","[Customer]: my phone crashed & the 2 options were to restore it to factory settings or to update it, updating would mean the photos & notes dont get deleted yet everything of 1 year is GONE now.. photos, notes, EVERYTHING. it went to factory setting automatically. i hate @115858 @AppleSupport
[AppleSupport]: Hi. This is not the experience we want you to have. We're here to help you. Have you looked to see if you had a backup of your iPhone? Here's how to check for one: [URL]
[Customer]: no 😔 i’ll make one so that such thing wont happen again. i already called apple they said they couldnt help since i didnt have a backup at the time but that it wasnt supposed to go to factory settings automatically and that this has happened before",Phone Performance,AUTO-HANDLE,"General performance lag addressable with standard restart, cache clearing, and storage checks."
1095929,HALP. my phone won’t stop screen recording. Even after turning it off.,"[Customer]: HALP. my phone won’t stop screen recording. Even after turning it off.
[AppleSupport]: Screen recording is meant to be on and off when you want, so we'd like to help. Which model is it and is iOS 11.0.3 installed?",Screen & Camera,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
325941,after updating. My wifi and bluetooth are not functioning properly. Wifi works for a minute or two then it disconnects. [URL],"[Customer]: after updating. My wifi and bluetooth are not functioning properly. Wifi works for a minute or two then it disconnects. [URL]
[AppleSupport]: We are here to help. Does this happen with all networks or just certain ones?
[Customer]: Not too sure because whenever I try to click the wifi tab on the settings it wont wont work same goes for the control center shortcut thing",Sound & Bluetooth,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1772897,- why these boxes still showing up on my phone after I️ updated my it ? 👀 @AppleSupport,"[Customer]: - why these boxes still showing up on my phone after I️ updated my it ? 👀 @AppleSupport
[AppleSupport]: Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]",Keyboard,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
1136049,ever since I updated my phone my battery has been dying quickly. Can you help?,"[Customer]: ever since I updated my phone my battery has been dying quickly. Can you help?
[AppleSupport]: We're glad to look into this with you! Please tell us more about what's going on since the update. We know how important it is to have reliable battery life throughout the day so you're not having to recharge your device frequently.
[Customer]: Ever since I ran the update the battery drains quickly. If I take a photo it drains from 90% to 30%.",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
1700794,• Can’t fund where ringtones are in iTunes now. Can you point me to where they are?,"[Customer]: • Can’t fund where ringtones are in iTunes now. Can you point me to where they are?
[AppleSupport]: We have made changes in the new iTunes. To view those changes and where to find information visit here: [URL]
[Customer]: So how do I get my existing ringtones on to my iPhone?",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2020667,Can y’all give us an update on this stupid question mark crap that y’all are incapable of fixing? But I should pay $900 @115858 I️,"[Customer]: Can y’all give us an update on this stupid question mark crap that y’all are incapable of fixing? But I should pay $900 @115858 I️
[AppleSupport]: We're here to help. Take a look at this article for assistance with this issue. [URL] DM any questions. [URL]",Keyboard,AUTO-HANDLE,"Known iOS 11 keyboard autocorrect bug with an official, safe self-service Text Replacement workaround."
1599229,Anyone else having #iOS111 issues? My wifi keeps disconnecting. @AppleSupport #ios11 #apple,"[Customer]: Anyone else having #iOS111 issues? My wifi keeps disconnecting. @AppleSupport #ios11 #apple
[AppleSupport]: We want to be sure your staying connected to Wi-FI. What device are you using with iOS 11?
[Customer]: iPad",Other,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2432815,Tried to update my phone & now its stuck on the plug into iTunes screen and won’t connect to any computer🙃 thanks @AppleSupport. Now i gotta send it to Apple to get fixed.,"[Customer]: Tried to update my phone & now its stuck on the plug into iTunes screen and won’t connect to any computer🙃 thanks @AppleSupport. Now i gotta send it to Apple to get fixed.
[AppleSupport]: We'd like to help and save you a trip if we can! We want to be sure you can use your iPhone as you'd expect. If iTunes isn't seeing that your iPhone is connected, you can follow the steps outlined here: [URL] Let us know how it goes.
[Customer]: Did these steps already & still didn’t work🙃",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2059463,my iPhone 6 used to work perfectly before iOS 11 update. And now the battery dies like never before. #Problem,"[Customer]: my iPhone 6 used to work perfectly before iOS 11 update. And now the battery dies like never before. #Problem
[AppleSupport]: We can help with the battery life. Could you Direct Message us and let us know what country you're located in? [URL]
[Customer]: Have done that! Pls check and revert.",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
114459,A recent upgrade to iOS 11.1.2 has made my phone so so slow . I hate it. It’s so laggy now @AppleSupport,"[Customer]: A recent upgrade to iOS 11.1.2 has made my phone so so slow . I hate it. It’s so laggy now @AppleSupport
[AppleSupport]: You've come to the right place for help. We can definitely look into this with you. Send us a DM and we'll go from there. [URL]
[Customer]: @141447 @AppleSupport Using 11.1 (15B93) 6s. No issue so far except calculator issue been reported on macrumours and on developers beta. Please look into it too. I guess apple hasn’t addressed it till yet in 11.1.2.",Phone Performance,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
199425,5s woke me up at midnight flashing and playing an alarm at max volume. Now it appears to be working. @115858 ?,"[Customer]: 5s woke me up at midnight flashing and playing an alarm at max volume. Now it appears to be working. @115858 ?
[AppleSupport]: That is unexpected for sure, but we're glad to hear that's working now. Reach out to us if that issue persists in the future.",Sound & Bluetooth,AUTO-HANDLE,Audio/Bluetooth settings behavior or volume adjustment resolvable via standard configuration steps.
2284498,LMFAO I JUST BOUGHT THE IPHONE X AND THE SCREEN WENT BLACK AND NOW IT WONT TURN ON @AppleSupport @115858,"[Customer]: LMFAO I JUST BOUGHT THE IPHONE X AND THE SCREEN WENT BLACK AND NOW IT WONT TURN ON @AppleSupport @115858
[AppleSupport]: We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. [URL]
[Customer]: @663870 🚮👎",Screen & Camera,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2558616,stop automatically putting my wifi & bluetooth on @115858,"[Customer]: stop automatically putting my wifi & bluetooth on @115858
[AppleSupport]: We're here for you. To turn off Wi-Fi and Bluetooth, follow these steps: To turn off Wi-Fi, go to Settings > Wi-Fi and turn off Wi-Fi. To turn off Bluetooth, go to Settings > Bluetooth and turn off Bluetooth. You can read more about this here: [URL]
[Customer]: i know how to turn them off… you guys keep turning them on automatically",Sound & Bluetooth,AUTO-HANDLE,Audio/Bluetooth settings behavior or volume adjustment resolvable via standard configuration steps.
954030,"Ever since the last update, my battery has been running down pretty fast! Sometimes within minutes, it's out. Please advise.","[Customer]: Ever since the last update, my battery has been running down pretty fast! Sometimes within minutes, it's out. Please advise.
[AppleSupport]: That's not expected. We're happy to help. Which iPhone model do you have? Also, what's the ambient temperature when this occurs?
[Customer]: iPhone 6 Plus. Temperature doesn't really rise beyond what's normal. Battery just silently runs out. A friend also complained about same.",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
2911763,Hey @115858 thanks to your stupid updates my iPhone 7 which is less than a year old won’t stop freezing and glitching,"[Customer]: Hey @115858 thanks to your stupid updates my iPhone 7 which is less than a year old won’t stop freezing and glitching
[AppleSupport]: That's certainly not what we'd expect you to experience. We'll be happy to assist as best we can. What version of iOS are you running currently?",Phone Performance,AUTO-HANDLE,"General performance lag addressable with standard restart, cache clearing, and storage checks."
1642353,"@115858 Data lost, suddenly shutdown, jumping screen after updating 7+ to iOS 11.0.3. What’s wrong?","[Customer]: @115858 Data lost, suddenly shutdown, jumping screen after updating 7+ to iOS 11.0.3. What’s wrong?
[AppleSupport]: We can take a look. Are you missing data from the iPhone? Or unable to connect to cellular data?",Phone Performance,ESCALATE,"Severe system instability, persistent bootloop, or restore failure requiring advanced diagnostics."
1727715,"@118845 Hey bought Beats X and they connect to my macbook perfectly but not my s8+, shows up on bluetooth but wont connect. Please help","[Customer]: @118845 Hey bought Beats X and they connect to my macbook perfectly but not my s8+, shows up on bluetooth but wont connect. Please help
[AppleSupport]: While you may need to reach out to Samsung, let's rule out what we can over Twitter. Any steps tried so far with your Beats?
[Customer]: Put in pairing mode and phone can see it wouldnt connect, reset beats x and tried again no difference, reset bluetooth on phone nothing",Sound & Bluetooth,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2888487,how is my phone broken and won’t charge unless it’s a certain way ... how do i fix this @115858,"[Customer]: how is my phone broken and won’t charge unless it’s a certain way ... how do i fix this @115858
[AppleSupport]: Thanks for reaching out! We know how important it is for you to be able to charge your iPhone. This article will explain what to do if your iPhone won’t charge: [URL] Let us know if you’re still having issues after completing the steps in the article.
[Customer]: still doesn’t work ... i probably need to get it fixed",Battery,ESCALATE,Physical hardware damage or component failure requiring hands-on inspection or hardware repair.
2064119,"The new @118134 IOS game is awesome! If the new @115858 IOS update didn’t destroy my battery, I wouldn’t stop playing it.","[Customer]: The new @118134 IOS game is awesome! If the new @115858 IOS update didn’t destroy my battery, I wouldn’t stop playing it.
[AppleSupport]: We know how important your battery life is. Try these steps and DM us if you are still having issues: [URL] [URL]
[Customer]: Thanks, but I already have my settings that way for saving battery life on the old version.",Battery,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
236803,noticed some Airpods connection problems while listening to music. Sometimes they just disconnect without any reasons.#iOS11?,"[Customer]: noticed some Airpods connection problems while listening to music. Sometimes they just disconnect without any reasons.#iOS11?
[AppleSupport]: Do your AirPods only disconnect while listening to music, or on calls too? Please restart your iPhone if you haven’t already.
[Customer]: Seems working now, thanks for the advice!",Sound & Bluetooth,AUTO-HANDLE,Standard self-service troubleshooting and guidance provided publicly.
2279570,haven't been able to use AppStore all day! Help! 😓,"[Customer]: haven't been able to use AppStore all day! Help! 😓
[AppleSupport]: That is certainly not the experience that we wanted you to have with your device, and we are going to do everything we can to help you. When you have a free moment, please DM us so that we can look into this together. [URL]",Apps & Storage,ESCALATE,Troubleshooting could not be resolved publicly and required private DM assistance.
